Id,sf_lms_Authored_Language__c,sf_lms_Class_Type__c
a858M0000004IZXQA2,en_US,Virtual
a858M0000004IRrQAM,fr,In-Person
a858M0000004IXuQAM,en_US,In-Person
a858M0000004IXpQAM,en_US,Virtual
a858M0000004ISGQA2,fr,In-Person
a858M0000004IXzQAM,en_US,In-Person;On-Demand
a858M0000004IWLQA2,de,In-Person
a858M0000004IWMQA2,en_US,Virtual
a858M0000004IWNQA2,es,On-Demand
a858M0000004IWOQA2,fr,In-Person
a858M0000004IWPQA2,pt_BR,Virtual
a858M0000004IWQQA2,ja,On-Demand
a858M0000004ISBQA2,fr,In-Person
